,split_text,keywords
3, click on mobile number text field,"click,  mobile number,  text field"
4, enter a number in the mobile number text field on the login page,"enter,  mobile number,  text field,  login page"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, click on mobile number text field,"click,  mobile number,  text field"
3, enter a number and try to change the country code,enter
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter a,enter
3,,
4,digit valid mobile number in the mobile number text field on the login page," valid mobile number,  mobile number,  text field,  login page"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter a,enter
3,,
4,digit invalid mobile number in the mobile number text field and click on request otp button on the login page," mobile number,  mobile number,  text field,  click,  request otp button,  login page"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login will display,"click,  login button,  login"
2, enter a,enter
3,,
4, digit mobile number in the mobile number text field and click on the request otp button on the login page," mobile number,  mobile number,  text field,  click,  request otp button,  login page"
5, enter the valid otp number in the otp field,"enter,  valid otp,  otp field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login will display,"click,  login button,  login"
2, enter a,enter
3,,
4, digit mobile number in the mobile number text field and click on the request otp button on the registration page," mobile number,  mobile number,  text field,  click,  request otp button"
5, enter the invalid otp number in the otp field and click on continue button,"enter,  invalid otp number,  otp field,  click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page wil display,"click,  login button,  login page"
2, enter a,enter
3,,
4, digit mobile number in the mobile number text field and click on the request otp button on the registration page," mobile number,  mobile number,  text field,  click,  request otp button"
5, enter the alphabets and special characters in the otp field,"enter,  otp field"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter a,enter
3,,
4, digit mobile number in the mobile number text field and click on the request otp button on the registration page," mobile number,  mobile number,  text field,  click,  request otp button"
5, do not enter any data in the otp field and click on continue button," enter,  otp field,  click,  continue,  button"
0, open the application by using given url httpswwwflipkartcom,"open,  url"
1, click on the login button login page will display,"click,  login button,  login page"
2, enter a,enter
3,,
4, digit mobile number in the mobile number text field and click on the request otp button on the registration page," mobile number,  mobile number,  text field,  click,  request otp button"
5, if the system didnt send the otp number click on the resend code hyperlink on the otp screen," otp number,  click,  hyperlink"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, check the text field label and search icon in the search box,"check,  text field,  search,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box in the home page,"click,  search, home page"
2, enter any value like alphabets special characters and numbers in the search box,"enter,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box in the home page,"click,  search, home page"
2, enter any value like alphabets special characters and numbers in the search box,"enter,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box in the home page,"click,  search, home page"
2, enter any value like alphabets special characters and numbers in the search box and click on enter or search icon in the search box,"enter,  search,  click,  enter,  search,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box in the home page,"click,  search, home page"
2, enter any value like alphabets special characters and numbers in the search box and click on enter or search icon in the search box,"enter,  search,  click,  enter,  search,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box in the home page,"click,  search, home page"
2, enter any value like alphabets special characters and numbers in the search box and click on enter or search icon in the search box,"enter,  search,  click,  enter,  search,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box in the home page,"click,  search, home page"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, check the flipkart image and explore plus hyperlink are present in the home page as required,"check,  hyperlink, home page"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on search box and enter any keyword for example mobiles system will navigate to the mobiles page,"click,  search,  enter,  navigate"
2, click on flipkart image present before the search box,"click,  search"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, click on explore plus hyperlink present below the flipkart image,"click,  hyperlink"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, hover over the my profile text in the home page popover will display,"hover, home page, popover"
2, click on my profile hyperlink in the popover,"click,  hyperlink, popover"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, hover over the my profile text in the home page popover will display,"hover, home page, popover"
2, click on my profile hyperlink in the popover profile page will display,"click,  hyperlink, popover"
3, check the profile page ui,"check,  ui"
0, open the application by using the given url httpswwwflipkartcom,"open,  url"
1, hover over the my profile text in the home page popover will display,"hover, home page, popover"
2, click on my profile hyperlink in the popover profile page will display,"click,  hyperlink, popover"
3, click on profile information option in profile page profile information section will display,click
4, click on personal information edit button,"click,  button"
0, open the flipkart application by using the given url httpswwwflipkartcom,"open,  url"
1, hover over the my profile text in the home page popover will display,"hover, home page, popover"
2, click on my profile hyperlink in the popover profile page will display,"click,  hyperlink, popover"
3, click on profile information option in profile page profile information section will display,click
4, click on personal information edit button,"click,  button"
5, enter alphabets special characters and numbers in the first name and last name text boxes,enter
0, open the flipkart application by using the given url httpswwwflipkartcom,"open,  url"
1, hover over the my profile text in the home page popover will display,"hover, home page, popover"
2, click on my profile hyperlink in the popover profile page will display,"click,  hyperlink, popover"
3, click on profile information option in profile page profile information section will display,click
4, click on personal information edit button,"click,  button"
5, select the gender in the male  female radio buttons,
6, click on the save button,"click,  button"
